0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:42 +0900] "GET /join/join/view/board/deleteProc.jsp?num=15&pageNum=1 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [24/Dec/2024:16:58:53 +0900] "GET /join/join/view/board/deleteProc.jsp?num=15&pageNum=1 HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:01 +0900] "GET /join/join/view/board/content.jsp?num=15&pageNum=1 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:02 +0900] "GET /join/join/view/board/content.jsp?num=15&pageNum=1 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:02 +0900] "GET /join/join/view/board/content.jsp?num=15&pageNum=1 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:02 +0900] "GET /join/join/view/board/content.jsp?num=15&pageNum=1 HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:03 +0900] "GET /join/join/view/board/deleteForm.jsp?num=15&pageNum=1 HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:03 +0900] "GET /join/join/view/board/script.js?timestamp=1735027203635 HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:06 +0900] "POST /join/join/view/board/deleteProc.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:10 +0900] "POST /join/join/view/board/deleteProc.jsp HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:11 +0900] "GET /join/join/view/board/list.jsp?pageNum=1 HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:11 +0900] "GET /join/join/view/board/images/level.gif HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:11 +0900] "GET /join/join/view/board/images/hot.gif HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:11 +0900] "GET /join/join/view/board/images/re.gif HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:13 +0900] "GET /join/join/view/board/content.jsp?num=14&pageNum=1 HTTP/1.1" 200 1347
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:14 +0900] "GET /join/join/view/board/deleteForm.jsp?num=14&pageNum=1 HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:14 +0900] "GET /join/join/view/board/script.js?timestamp=1735027214694 HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [24/Dec/2024:17:00:17 +0900] "POST /join/join/view/board/deleteProc.jsp HTTP/1.1" 200 102
